"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"traveler:EZIC_CORMAN","Read the note then return it to me.","Legu la noton kaj redonu gxin al mi."
"traveler:EZIC_HANDLER_PRE0","Our agents are ready.","Niaj agentoj pretas."
"traveler:EZIC_HANDLER_PRE0","Starting tomorrow.","Komenconte morgaux."
"traveler:EZIC_HANDLER_PRE0","Let them pass.","Lasu ilin pasi."
"traveler:EZIC_AGENT0","The Order rises.","La Ordeno levigxas."
"traveler:EZIC_AGENT0","The Order knows.","La Ordeno scias."
"traveler:EZIC_AGENT1","For Arstotzka and the Order.","Por Arstotzkio kaj la Ordeno."
"traveler:EZIC_HANDLER_POST1","Give me the coded documents.","Donu al mi la cxifritajn dokumentojn."
"traveler:EZIC_HANDLER_POST1","Both.","Ambaux."
"traveler:EZIC_HANDLER_EXT","Today.","Hodiaux."
"traveler:EZIC_AGENT_EXT","For Arstotzka and the Order.","Por Arstotzkio kaj la Ordeno."
"traveler:EZIC_AGENT_EXT","The others do not agree, but I believe the man in red is not a threat.","La aliaj ne konsentas, sed mi opinias, ke la rugxanto ne estas minaco."
"traveler:EZIC_AGENT_EXT","@What?","@Kio?"
"traveler:EZIC_AGENT_EXT","Nevermind.","Ne gravas."
"traveler:EZIC_HANDLER_SNIPE","Shoot to kill.","Pafu tiel, ke mortigos."
"traveler:EZIC_DIPLO","I require my passport.","Mi bezonas mian pasporton."
"traveler:EZIC_DIPLO","@It has been confiscated.","@Gxi estas konfiskita."
"traveler:EZIC_DIPLO","I am Kolechian diplomat here on government request.","Mi estas Kolehxia diplomato, tie laux peto de estraro."
"traveler:EZIC_DIPLO","Return passport at once.","Redonu pasporton tuj."
"traveler:EZIC_DIPLO","@Call number on slip to recover.","@Voku nombron sur slipo por reakiri."
"traveler:EZIC_DIPLO","Barbarian.","Barbaro."
"traveler:EZIC_DIPLO","You cannot do this.","Vi ne povas fari tion."
"traveler:EZIC_DIPLO_FOLLOW","I saw him enter.","Mi vidis lin eniri."
"traveler:EZIC_DIPLO_FOLLOW","Give his passport to me.","Donu lian pasporton al mi."
"traveler:EZIC_DIPLO_FOLLOW","Ah good.","Ho bone."
"traveler:EZIC_DIPLO_FOLLOW","I look much the same as him.","Mi aspektas tre simile al li."
"traveler:EZIC_DIPLO_FOLLOW","Just need to shave my mustache.","Nur devas razi al mi la lipharojn."
"traveler:EZIC_DIPLO_FOLLOW","But we all must make sacrifices.","Sed cxiuj el ni devas fari oferajxojn."
"traveler:EZIC_DIPLO_FOLLOW","Appove the visa.","Aprobu la vizon."
"traveler:EZIC_DIPLO_FOLLOW","For Arstotzka and the Order.","Por Arstotzkio kaj la Ordeno."
"traveler:EZIC_DIPLO_FOLLOW","This is not what was agreed on.","Tiu ne estas tio, pri kio oni konsentas."
"traveler:EZIC_DIPLO_FOLLOW","I am sent to collect diplomat's passport.","Mi estas sendita por havigi pasporton de diplomato."
"traveler:EZIC_DIPLO_FOLLOW","@I do not have it.","@Mi ne havas gxin."
"traveler:SECRET_POLICE_INTRO","Good morning, inspector.","Bonan matenon, inspektisto."
"traveler:SECRET_POLICE_INTRO","You are healthy today yes?","Vi estas sana hodiaux cxu ne?"
"traveler:SECRET_POLICE_INTRO","I have just few questions for you.","Mi havas nur kelkajn demandojn por vi."
"traveler:SECRET_POLICE_INTRO","There was problem at Metro last night.","Estas problem cxe Metroo lastnokte."
"traveler:SECRET_POLICE_INTRO","Maybe you read about it in paper.","Eble vi legis pri gxin en jxurnalo."
"traveler:SECRET_POLICE_INTRO","Is very big news.","Estas tre granda novajxo."
"traveler:SECRET_POLICE_INTRO","We think it is not accident.","Ni opinias, ke gxi ne estas akcidento."
"traveler:SECRET_POLICE_INTRO","We think it is caused by suspicious group.","Ni pensas, ke suspektinda grupo kauxzis gxin."
"traveler:SECRET_POLICE_INTRO","We think some members pass through this checkpoint.","Ni pensas, ke kelkaj membroj transpasi tiun kontrolpunkton."
"traveler:SECRET_POLICE_INTRO","So we come talk to you.","Do ni nun parolas kun vi."
"traveler:SECRET_POLICE_INTRO","Have you seen anything like this?","Cxu vi vidis ion ajn simile al cxi tiu?"
"traveler:SECRET_POLICE_INTRO","Is some kind of symbol for group.","Estas ia simbolo por grupo."
"traveler:SECRET_POLICE_INTRO","If you have any information, you give to us yes?","Se vi havas iun informon, vi donas al ni jes?"
"traveler:SECRET_POLICE_INTRO","Yes?","Jes?"
"traveler:SECRET_POLICE_INTRO","@Yes.","@Jes."
"traveler:SECRET_POLICE_INTRO","Very good.","Tre bone."
"traveler:SECRET_POLICE_INTRO","Please return my badge and paper.","Bonvolu redoni mian insignon kaj paperon."
"traveler:SECRET_POLICE_INTRO","We think suspicious group attempts to stir trouble.","Ni opinias, ke suspektinda grupo klopodas agiti maltrankvilon."
"traveler:SECRET_POLICE_INTRO","We think some members enter this checkpoint.","Ni opinias, ke kelkaj membroj eniris tiun kontrolpunkton."
"traveler:SECRET_POLICE_INTRO","What is this?","Kio estas tio?"
"traveler:SECRET_POLICE_INTRO","Interesting.","Interese."
"traveler:SECRET_POLICE_INTRO","Yes, very interesting.","Jes, tre interese."
"traveler:SECRET_POLICE_INTRO","I think it is best if you come with me.","Mi pensas, ke gxi estas plej bona se vi akompanos min."
"traveler:SECRET_POLICE_INTRO","This group is very dangerous.","Tiu grupo estas tre dangxera."
"traveler:SECRET_POLICE_INTRO","If you see any curious thing, report immediately.","Se vi vidas kuriozajxon, tuj raporti."
"traveler:SECRET_POLICE_CAUGHT","Hello inspector.","Saluton inspektisto."
"traveler:SECRET_POLICE_CAUGHT","There is small discrepancy with your finances.","Estas malgranda malakordo kun viaj financoj."
"traveler:SECRET_POLICE_CAUGHT","The Ministry of Income was thoughtful enough to notify us.","La Ministrejo de Enspezo estis suficxe afabla por sciigi nin."
"traveler:SECRET_POLICE_CAUGHT","It is best if you come with me.","Estas plej bona se vi akompanas min."
"traveler:SECRET_POLICE_FINAL","Inspector.","Inspektisto."
"traveler:SECRET_POLICE_FINAL","It has been some time.","Pasis longan tempon."
"traveler:SECRET_POLICE_FINAL","Read your bulletin carefully today.","Legu zorge vian bultenon hodiaux."
"traveler:SECRET_POLICE_FINAL","We will be speaking with many workers.","Ni parolos kun multe da laboristoj."
"traveler:SECRET_POLICE_FINAL","Your audit comes soon.","Via revizoro baldaux okazas."
"traveler:SECRET_POLICE_FINAL","I will personally conduct it.","Mi persone konduktos gxin."
"traveler:SECRET_POLICE_FINAL","There is nothing to fear.","Ne timu."
"traveler:SECRET_POLICE_FINAL","Work hard.","Laboru forte."
"traveler:JORJI_BASE","All right! You the best!","Bonege! Vi estas la plej!"
"traveler:JORJI_BASE","Arstotzka the best!","Arstotzkio la plej!"
"traveler:JORJI_BASE","Here, take this!","Jen, prenu tiun!"
"traveler:JORJI0","Ok! Here we go!","Bone! Ni komencu!"
"traveler:JORJI0","Glory to Arstotzka!","Gloro al Arstotzkio!"
"traveler:JORJI0","The greatest country!","La plej bona lando!"
"traveler:JORJI0","@Where is your passport?","@Kie estas via pasporto?"
"traveler:JORJI0","Passport!","Pasporto!"
"traveler:JORJI0","Arstotzka so great, passport not required.","Arstotzkio tiom bonas, ne bezonas pasporton."
"traveler:JORJI0","Right?","Cxu ne?"
"traveler:JORJI0","@A passport is required.","@Oni bezonas pasporton."
"traveler:JORJI0","Ok, ok. I hear you.","Bone, bone. Mi komprenas."
"traveler:JORJI0","I come back again.","Mi revenos denove."
"traveler:JORJI1","Ok! Hello again!","Bone! Saluton denove!"
"traveler:JORJI1","Now I have passport!","Nun mi havas pasporton!"
"traveler:JORJI1","Arstotzka still best country for sure!","Arstotzkio ankoraux certe plej bona lando"
"traveler:JORJI1","@This passport is crude fake.","@Tiu pasporto estas kruda falso."
"traveler:JORJI1","Hey now! Is not true!","Ho, ne! Ne estas vera!"
"traveler:JORJI1","Is pre-approved!","Estas antauxaprobita!"
"traveler:JORJI1","@ Cobrastan is not a real country.","@Kobrastanio ne estas vera lando."
"traveler:JORJI1","Ok, ok.","Bone, bone."
"traveler:JORJI1","You no like passport, I understand.","Vi ne sxatas pasporton, mi komprenas."
"traveler:JORJI1","I come back again with better one.","Mi revenos denove kun pli bona."
"traveler:JORJI2","Old friend hello!","Kara amiko saluton!"
"traveler:JORJI2","I am back again!","Mi revenis denove!"
"traveler:JORJI2","This time everything set.","Nun cxiuj pretas."
"traveler:JORJI2","@You are missing an entry permit.","@Mankas al vi eniro-permesilon."
"traveler:JORJI2","Oh man you funny guy!","Ho, vi estas amuzanto!"
"traveler:JORJI2","@An entry permit is required.","@Oni bezonas eniro-permesilo."
"traveler:JORJI2","Wow, you run very strict border here.","Nu, vi funkciigas tre striktan landlimon tie."
"traveler:JORJI2","That is good. Do job right.","Tiu bonas. Faru ofico gxuste."
"traveler:JORJI2","I look for entry thing and come back.","Mi sercxas enirajxon kaj revenos."
"traveler:JORJI3","Hey it is me!","He, estas mi!"
"traveler:JORJI3","Are you happy to see?","Cxu vi gxojas vidi?"
"traveler:JORJI3","I have everything you ask for now.","Mi havas cxion kion vi petas nun."
"traveler:JORJI3","@Tickets are no longer accepted.","@Oni ne plu akceptas biletojn."
"traveler:JORJI3","Hey no!","Ho ne!"
"traveler:JORJI3","Guy sold me ticket. Say is good!","Ulo vendis gxin al mi. Diris estas bona!"
"traveler:JORJI3","You check again maybe.","Eble vi rekontrolu."
"traveler:JORJI3","@Do not come back again.","@Ne revenu denove."
"traveler:JORJI3","Haha!","Hehe!"
"traveler:JORJI3","You nice guy but I have business in Arstotzka.","Vi afabla ulo sed mi havas aferojn en Arstotzkio."
"traveler:JORJI3","I get right papers and come see you.","Mi havigos tauxgajn paperojn kaj venos vidi vin."
"traveler:JORJI4","Hello my guy!","Saluton mia ulo!"
"traveler:JORJI4","Ok. Today is day!","Bone. Hodiaux estas tago!"
"traveler:JORJI4","Look at all good papers.","Vidu cxiubonajn paperojn."
"traveler:JORJI4","Was not easy.","Ne estas facila."
"traveler:JORJI4","Or cheap! Haha!","Aux malmultekosta! Hehe!"
"traveler:JORJI4","@I told you not to come back.","@Mi diris al vi ne reveni."
"traveler:JORJI4","This is crap.","Estas merdo."
"traveler:JORJI4","You know what? Forget it.","Baf! Forgesu gxin."
"traveler:JORJI4","Arstotzka worst country.","Arstotzkio plej malbona lando."
"traveler:JORJI4","You worst person.","Vi plej malbona persono."
"traveler:JORJI4","Thank you so much!","Multajn dankojn!"
"traveler:JORJI4","If I am honest to you, I was little nervous.","Se mi estas honesta al vi, mi iom nervoza."
"traveler:JORJI4","Even with right papers is hard to say.","Ecx kun tauxgaj paperpoj, malfacile diri."
"traveler:JORJI4","Ok bye!","Bone gxis!"
"traveler:JORJI_SMUGGLE0","Again I am here!","Denove mi estas tie!"
"traveler:JORJI_SMUGGLE0","Everything all set up now.","Cxio estas preta nun."
"traveler:JORJI_SMUGGLE0","I come through often to see you.","Mi ofte transiras por viziti vin."
"traveler:JORJI_SMUGGLE0","We become good friends!","Ni bone kunamikigxias!"
"traveler:JORJI_SMUGGLE0","@Your weight is different.","@Via pezo estas malsama."
"traveler:JORJI_SMUGGLE0","Is sad story.","Estas malgaja rakonto."
"traveler:JORJI_SMUGGLE0","My wife very bad cook.","Mia edzino tre mallerta kuiristino."
"traveler:JORJI_SMUGGLE0","But if I do not eat, she get angry.","Sed se mi ne mangas, sxi koleras."
"traveler:JORJI_SMUGGLE0","Uh oh, maybe you not like this!","Ho ve, eble vi ne sxatas tiun!"
"traveler:JORJI_SMUGGLE0","@What is this?","@Kio estas tio?"
"traveler:JORJI_SMUGGLE0","Is drugs!","Drogoj!"
"traveler:JORJI_SMUGGLE0","I have little side business here.","Mi havas etan flankan aferon tie."
"traveler:JORJI_SMUGGLE0","You let me through and I give you something something.","Vi lasu mi trairi kaj mi donas al vi ia ion."
"traveler:JORJI_SMUGGLE0","@Something what?","@Kia io?"
"traveler:JORJI_SMUGGLE0","Ten credits.","Dek kreditoj."
"traveler:JORJI_SMUGGLE0","I give you ten credits for just little stamp.","Mi donas al vi dek kreditojn por nur stampeto."
"traveler:JORJI_SMUGGLE0","@Wait here Jorji.","@Atendu tie Jorji."
"traveler:JORJI_SMUGGLE0","Is ok, I understand.","Bone, mi komprenas."
"traveler:JORJI_SMUGGLE0","Drugs are bad. Not good for kids.","Drogoj estas malbona. Ne bona por infanoj."
"traveler:JORJI_SMUGGLE0","You do great work here still.","Vi faras vian devon tre bone cxiuokaze."
"traveler:JORJI_SMUGGLE0","Ok!","Bone!"
"traveler:JORJI_SMUGGLE0","We go full speed!","Ni plej rapidas!"
"traveler:JORJI_SMUGGLE0","Hey what is problem?","Ho, kio estas problemo?"
"traveler:JORJI_SMUGGLE0","@I do not trust you.","@Mi ne fidas vin."
"traveler:JORJI_SMUGGLE0","Ok, ok.","Bone, bone."
"traveler:JORJI_SMUGGLE0","You good guy so I win trust next time.","Vi bona ulo do mi gajnos fidon sekva fojo."
"traveler:JORJI_SMUGGLE1","Ok, I am back!","Bone, mi revenis!"
"traveler:JORJI_SMUGGLE1","Same procedure!","Sama procedo!"
"traveler:JORJI_SMUGGLE1","They told me this hard business.","Oni diris al mi, tio estas malfacila afero."
"traveler:JORJI_SMUGGLE1","So far everything smooth like ice!","Gxis nun cxio glacas kiel glacio!"
"traveler:JORJI_SMUGGLE1","Thanks to you!","Dankon al vi!"
"traveler:JORJI_SMUGGLE1","Buy something happy for wife.","Acxetu ion gajan por edzino."
"traveler:JORJI_SMUGGLE1","Phew!","Uf!"
"traveler:JORJI_SMUGGLE1","Was tough one. Lucky for me, guard was easy.","Estis malfacilajxo. Felicxe por mi, gardisto estis facila."
"traveler:JORJI_SMUGGLE1","He asks for big money but is reasonable man.","Li petis grandan monon sed estas bonsenca viro."
"traveler:JORJI_SMUGGLE1","Oh man, again!","Ho, denove!"
"traveler:JORJI_SMUGGLE1","That guard have another good day.","Tiu gardisto havos alian bonan tagon."
"traveler:JORJI_SMUGGLE1","Not sure I keep this up with no sales!","Ne certas mi tenadas sen acxetajxoj!"
"traveler:JORJI_SMUGGLE1","Ok, we try again!","Bone, ni klopodos denove!"
"traveler:JORJI_SMUGGLE1","Sorry to bother you, but this my only job.","Mi pardonpetas, sed tio mia sola laboro."
"traveler:JORJI_SMUGGLE1","@Wait here, Jorji.","@Atendu tie, Jorji."
"traveler:JORJI_SMUGGLE1","Is ok, I understand.","Bone, mi komprenas."
"traveler:JORJI_SMUGGLE1","Drugs are bad. Not good for kids.","Drogoj estas malbona. Ne bona por infanoj."
"traveler:JORJI_SMUGGLE1","You do great work here still.","Vi faras vian devon tre bone cxiuokaze."
"traveler:JORJI_SMUGGLE1","@I see a difference here.","@Mi vidas diferenco tie."
"traveler:JORJI_SMUGGLE1","Is real mystery for sure.","Estas vera mistero certe."
"traveler:JORJI_SMUGGLE1","Maybe things get too sexy in here.","Eble aferoj tro seksigxas tie."
"traveler:JORJI_SMUGGLE1","@Drugs?","@Drogoj?"
"traveler:JORJI_SMUGGLE1","Looks like good stuff right?","Aspektas bone cxu ne?"
"traveler:JORJI_SMUGGLE1","Wait! I give you 10 credits for ok stamp!","Atendu! Mi donas al vi 10 kreditojn por bona stampo!"
"traveler:JORJI_SMUGGLE1","Think about family!","Pensu pri familio!"
"traveler:JORJI_SMUGGLE1","They can buy many happy things with these credits.","Ili povas acxeti multe da gxojajxoj per tiuj kreditoj."
"traveler:JORJI_SMUGGLE1","Just for little harmless drugs!","Nur por etaj sendangxeraj drogoj!"
"traveler:JORJI_SMUGGLE1","This much better, see?","Tio ege bonas, ne?"
"traveler:JORJI_SMUGGLE1","Wow, you really stand-up guy.","Ho, vi estas vera honestulo."
"traveler:JORJI_SMUGGLE1","Maybe is not so good for me when I think about.","Eble montras min malbone kiam mi pripensas."
"traveler:JORJI_CRIMINAL","Is good to see you again!","Estas bona vidi vin denove!"
"traveler:JORJI_CRIMINAL","Today I come just for short visit.","Hodiaux mi venas nur por mallonga vizito."
"traveler:JORJI_CRIMINAL","Everything is definitely ok with me.","Cxio definitive bonas por mi."
"traveler:JORJI_CRIMINAL","For sure I am not in criminal bulletin or anything!","Certe mi ne estas en krima bulteno aux simile!"
"traveler:JORJI_CRIMINAL","@Your face is in wanted bulletin.","@Via vizago estas en bulteno pri sercxantoj krimuloj."
"traveler:JORJI_CRIMINAL","What! I pay police like crazy!","Kio! Mi ege pagas al polico!"
"traveler:JORJI_CRIMINAL","They promise no bulletin. All clear they say.","Ili promesas neniun bultenon. Cxiu klara ili diras."
"traveler:JORJI_CRIMINAL","I think twice about trusting friendly people.","Mi rekonsideras fidi afablajn homojn."
"traveler:JORJI_CRIMINAL","Hey I really like you.","He mi vere sxatas vin."
"traveler:JORJI_CRIMINAL","I know is risky to help me like this.","Mi scias, estas riska helpi min tiel."
"traveler:JORJI_CRIMINAL","I try to make it up for you.","Mi klopodas kompensi vin."
"traveler:JORJI_CRIMINAL","Ah, is ok.","Ha, bone."
"traveler:JORJI_CRIMINAL","At least you do not arrest me.","Almenaux vi ne arestas min."
"traveler:JORJI_CRIMINAL","Thanks anyways.","Dankon cxiuokaze."
"traveler:JORJI_CRIMINAL","@Sorry Jorji.","@Mi bedauxras, Jorji."
"traveler:JORJI_CRIMINAL","Ah, is ok. Most police know me now.","Ha, ne gravas. Plejparto da policoj konas min nun."
"traveler:JORJI_CRIMINAL","I have little talk with them again.","Mi havas etan diskuton kun ili denove."
"traveler:JORJI_CRIMINAL","Anyway, you have tough job.","Sed vi havas malfacilan laboron."
"traveler:JORJI_CRIMINAL","I rather sell drugs!","Mi preferas vendi drogojn!"
"traveler:JORJI_PASSPORTS","I read newspaper.","Mi legas jxurnalon."
"traveler:JORJI_PASSPORTS","@Hello Jorji.","@Saluton Jorji."
"traveler:JORJI_PASSPORTS","Things getting little crazy in Arstotzka.","Aferoj igxas frenezej en Arstotzkio."
"traveler:JORJI_PASSPORTS","Maybe you think about going away for a bit.","Eble vi konsideras foriri por iom."
"traveler:JORJI_PASSPORTS","Obristan is good place.","Obristio bona loko."
"traveler:JORJI_PASSPORTS","Right next door up north.","Najboro rekte norde."
"traveler:JORJI_PASSPORTS","@Our passports have been confiscated.","@Niaj pasportoj estas konfiskitaj."
"traveler:JORJI_PASSPORTS","@We cannot leave.","@Ni ne povas foriri."
"traveler:JORJI_PASSPORTS","Hey that not good sign.","He tio signifas malbonon."
"traveler:JORJI_PASSPORTS","Hold on.","Atendu."
"traveler:JORJI_PASSPORTS","I know a guy.","Mi konas ulon."
"traveler:JORJI_PASSPORTS","Just give him real passports to work with.","Nur donu al li efektivajn pasportojn pri kiuj li laboras."
"traveler:JORJI_PASSPORTS","He changes info to match for you.","Li sxangxas informojn por akordi kun vi."
"traveler:JORJI_PASSPORTS","I learn that in hard way.","Mi nur malfacile lernas tion."
"traveler:JORJI_PASSPORTS","Thanks again!","Dankon denove!"
"traveler:JORJI_PASSPORTS","Bah! Maybe you right.","Baf! Eble vi pravas."
"traveler:JORJI_PASSPORTS","Better to take little break.","Pli bona havi ripozeton."
"traveler:JORJI_PASSPORTS","Hey what the hell?","He kio diable?"
"traveler:JORJI_PASSPORTS","You take my passport!","Vi prenas mian pasporton!"
"traveler:JORJI_PASSPORTS","You can see it was expensive!","Vi povas vidi ke gxi estis multekosta!"
"traveler:JORJI_PASSPORTS","@You said I need real Obristan passports.","@Vi diris ke mi bezonas efektivajn obristiajn pasportojn."
"traveler:JORJI_PASSPORTS","Man. Fine.","Nu. Bone."
"traveler:JORJI_PASSPORTS","I get another but little unhappy about it.","Mi havigas alian sed iomete malkontente."
"traveler:JORJI_PASSPORTS","Memorize flyer and give back.","Enmemorigu flugfolion kaj redonu."
"traveler:JORJI_PASSPORTS","Hey you know what.","He, mi havas ideon."
"traveler:JORJI_PASSPORTS","Take my passport.","Tenu mian pasporton."
"traveler:JORJI_PASSPORTS","I get another one no problem.","Mi havigas alian senprobleme."
"traveler:JORJI_PASSPORTS","Now memorize flyer and give back if you finish reading.","Nun enmemorigu flugfolion kaj redonu se vi finas legi."
"traveler:JORJI_PASSPORTS","Do not want to get in trouble!","Ne volas embarasigxi!"
"traveler:JORJI_PASSPORTS","Obristan really great this time of year.","Obristio vere bonas tiu sezono."
"traveler:JORJI_PASSPORTS","Lots of snow.","Multe de nego."
"traveler:JORJI_PASSPORTS","Not sure where you get more passports for family.","Ne certas kie vi havigas pli da pasportojn por familio."
"traveler:JORJI_PASSPORTS","But you smart guy.","Sed vi lertulo."
"traveler:JORJI_PASSPORTS","Probably figure it out!","Versxajne solvi gxin!"
"traveler:JORJI_PASSPORTS","Good luck.","Bonsxancon."
"traveler:JORJI_GOODBYE","Ho boy! I make big score!","Ho ho! Mi grande sukcesas!"
"traveler:JORJI_GOODBYE","Huge! You have no idea!","Grandege! Vi havas neniun ideon!"
"traveler:JORJI_GOODBYE","Anyway. I just want to say thank you.","Cxiaokaze, mi nur volas danki vin."
"traveler:JORJI_GOODBYE","I wait in line just for that!","Mi atendas en vico nur por tio!"
"traveler:JORJI_GOODBYE","Maybe I quit now.","Eble mi cxesas nun."
"traveler:JORJI_GOODBYE","Haha!","Hehe!"
"traveler:BROTHEL0","Hello handsome.","Saluton belulo."
"traveler:BROTHEL0","You look bored.","Vi aspektas teda."
"traveler:BROTHEL0","If you want good time, come see us.","Se vi volas bonan tempon, venu al ni."
"traveler:BROTHEL0","I will be around couple months.","Mi restas gxis du monatoj."
"traveler:BROTHEL0","Don't forget to visit.","Ne forgesu viziti."
"traveler:BROTHEL1","Hey there.","Sal, vi."
"traveler:BROTHEL1","I can make you happy any time.","Mi povas kontentigi vin iam ajn."
"traveler:BROTHEL1","Come to Pink Vice. Ask for Ava.","Venu al Roza Peko. Petu Avan."
"traveler:BROTHEL2","Oh. Here.","Ho. Jen."
"traveler:BROTHEL2","Please help me.","Bonvolu helpi min."
"traveler:BROTHEL3","Hello friend.","Saluton amiko."
"traveler:BROTHEL3","You come down, I give you good girl.","Vi vizitas, mi donas al vi bonan knabinon."
"traveler:BROTHEL3","That little bitch.","Tiu eta fiulino."
"traveler:BROTHEL3","I break her in two.","Mi disrompas sxin."
"traveler:BROTHEL3","@You are Dari Ludum?","@Cxu vi estas Dari Ludum?"
"traveler:BROTHEL3","Of course, it says on passport.","Efektive, tiel diris la pasporto."
"traveler:BROTHEL3","@One moment.","@Momenton."
"traveler:BROTHEL3","What is this shit?","Kio estas tiu feko?"
"traveler:BROTHEL3","Give my papers back.","Redonu miajn paperojn."
"traveler:KILLERATHLETE","@You are Vince Lestrade?","@Cxu vi estas Vince Lestrade?"
"traveler:KILLERATHLETE","Damn.","Diable."
"traveler:KILLERATHLETE","Look, I did not kill her. I was set up.","Vidu, mi ne mortigis sxin. Mi estis falskulpigita."
"traveler:KILLERATHLETE","Do not believe the Republian lies.","Ne kredu la respublikiajn mensogojn."
"traveler:KILLERATHLETE","Let me through.","Lasu min trairi."
"traveler:KILLERATHLETE","Shit.","Fek."
"traveler:HUSBAND_WIFE0","Today is beautiful day, my friend.","Hodiaux estas bela tago, mia amiko."
"traveler:HUSBAND_WIFE0","We finally become free from Antegrian tyranny!","Ni finfine igxas libera de antegria tiraneco!"
"traveler:HUSBAND_WIFE0","Thank you so much!","Koran dankon!"
"traveler:HUSBAND_WIFE0","Please be kind to my wife, she is just after me.","Mi petas, estu gxentila al mia edzino, sxi tuj sekvas min."
"traveler:HUSBAND_WIFE0","No! They will kill us!","Ne! Oni mortigos nin!"
"traveler:HUSBAND_WIFE0","Please, I beg you.","Mi petegas vin."
"traveler:HUSBAND_WIFE0","Let my wife pass. She is coming to you next.","Lasu mian edzinon pasi. Sxi venas tien sekve."
"traveler:HUSBAND_WIFE1","Did you see my husband?","Cxu vi vidis mian edzon?"
"traveler:HUSBAND_WIFE1","He made it through, yes?","Li sukcese trairis, jes?"
"traveler:HUSBAND_WIFE1","@Where is your entry permit?","@Kie estas vian eniro-permesilon?"
"traveler:HUSBAND_WIFE1","Please, I beg you.","Mi petegas vin."
"traveler:HUSBAND_WIFE1","They would not give me permit. I have no choice.","Oni rifuzis permesilon al mi. Mi ne havas elekton."
"traveler:HUSBAND_WIFE1","I will be killed if I return to Antegria.","Oni mortigos min se mi reiras al Antegrio."
"traveler:HUSBAND_WIFE1","Thank you.","Dankon."
"traveler:HUSBAND_WIFE1","We will not forget.","Ni ne forgesos."
"traveler:HUSBAND_WIFE1","Why?","Kial?"
"traveler:HUSBAND_WIFE1","You have doomed me.","Vi kondamnas min."
"traveler:HUSBAND_WIFE1","Why did you turn my husband away?","Kial vi forigis mian edzon?"
"traveler:HUSBAND_WIFE1","I will not leave him to die.","Mi ne lasos lin morti."
"traveler:HUSBAND_WIFE1","You have doomed us both.","Vi kondamnis ni ambaux."
"traveler:HIRING_ENGINEERS_START","You see many people, yes?","Vi vidas multe da homoj, cxu ne?"
"traveler:HIRING_ENGINEERS_START","I am looking for engineers.","Mi bezonas ingxenierojn."
"traveler:HIRING_ENGINEERS_START","Do me a favor.","Faru al mi favoron."
"traveler:HIRING_ENGINEERS_START","Give my card to any engineers you meet.","Donu mian karton al iuj ingxenerioj kiujn vi vidas."
"traveler:HIRING_ENGINEERS_START","I come back in few days.","Mi revenas post kelkaj tagoj."
"traveler:HIRING_ENGINEERS_START","Pay you 5 credits for each engineer that calls me.","Pagas al vi 5 kreditojn por cxiu ingxeniero, kiu vokas min."
"traveler:HIRING_ENGINEERS_START","You make a mistake but I let you fix it.","Vi eraras, sed mi lasas vin korekti gxin."
"traveler:HIRING_ENGINEERS","What is this?","Kio estas tio?"
"traveler:HIRING_ENGINEERS","Oh. Huh. ; Huh. ; They are hiring?","Ho. Hm! ; Hm. ; Ili dungas?"
"traveler:HIRING_ENGINEERS","I have already.","Mi jam havas."
"traveler:HIRING_ENGINEERS","Stop giving to me.","Cxesu doni al mi."
"traveler:HIRING_ENGINEERS","Forget it, take them both. I don't want.","Forgesu gxin, prenu ilin ambaux. Mi ne volas."
"traveler:HIRING_ENGINEERS_END","Is good card, yes? ; Thanks ; These were not cheap you know. ;","Estas bona karto, jes? ; Dankon ; Tiuj ne estas malmultekostaj, vi scias. ;"
"traveler:HIRING_ENGINEERS_END","I am back.","Mi revenas."
"traveler:HIRING_ENGINEERS_END","How many engineers did you meet?","Kiom da ingxenieroj vi renkontis?"
"traveler:HIRING_ENGINEERS_END","I got no calls.","Mi recevis neniun vokon."
"traveler:HIRING_ENGINEERS_END","You gave my cards to no one.","Vi donis miajn kartojn al neniu."
"traveler:HIRING_ENGINEERS_END","Thank you for nothing.","Dankon pro nenio."
"traveler:HIRING_ENGINEERS_END","I get only one call.","Mi ricevas nur unu vokon."
"traveler:HIRING_ENGINEERS_END","I'm lucky that he is good lead.","Mi estas bonsxanca, ke li estas uzebla viro."
"traveler:HIRING_ENGINEERS_END","Here is what I promised.","Jen kion mi promesis."
"traveler:HIRING_ENGINEERS_END","I got two calls.","Mi ricevis du vokojn."
"traveler:HIRING_ENGINEERS_END","One guy, he was good.","Unu ulo, li estas bona."
"traveler:HIRING_ENGINEERS_END","Other one not so much.","Alian ne tiom."
"traveler:HIRING_ENGINEERS_END","Thanks anyways.","Dankon cxiaokaze."
"traveler:HIRING_ENGINEERS_END","I got three calls.","Mi ricevis tri vokojn."
"traveler:HIRING_ENGINEERS_END","Two guys were good.","Du uloj estis bona."
"traveler:HIRING_ENGINEERS_END","Last one was a fool. Didn't know basics.","Fina estas stultulo. Ne sciis bazojn."
"traveler:HIRING_ENGINEERS_END","But is ok. I appreciate.","Sed ne gravas. Mi dankas."
"traveler:HIRING_ENGINEERS_END","I got four calls.","Mi ricevas kvar vokojn."
